mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
13.624,0.744,0.333,0.077,0.923,0.12,1.454,2.892,0.0
13.581,0.815,0.365,0.077,0.55,0.119,1.111,2.694,0.0
13.325,0.857,0.362,0.081,0.452,0.122,1.017,2.717,0.0
13.646,0.868,0.371,0.083,0.408,0.127,0.989,2.785,0.0
13.27,0.871,0.396,0.075,0.402,0.125,0.998,2.731,0.0
13.699,0.884,0.337,0.073,0.366,0.117,0.894,2.626,0.0
13.674,0.876,0.338,0.074,0.358,0.121,0.891,2.717,0.0
13.254,0.908,0.311,0.074,0.276,0.12,0.781,2.701,0.0
13.286,0.887,0.424,0.081,0.347,0.128,0.981,2.705,0.0
13.323,0.894,0.376,0.076,0.319,0.124,0.895,2.564,0.0
13.692,0.892,0.334,0.073,0.314,0.12,0.842,2.608,0.0
13.304,0.899,0.315,0.078,0.312,0.12,0.825,2.627,0.0
13.206,0.902,0.365,0.074,0.29,0.121,0.849,2.628,0.0
13.637,0.904,0.308,0.071,0.273,0.119,0.77,2.619,0.0
13.331,0.905,0.367,0.074,0.28,0.119,0.841,2.657,0.0
13.232,0.898,0.296,0.074,0.297,0.123,0.79,2.618,0.0
13.609,0.896,0.356,0.075,0.292,0.12,0.843,2.611,0.0
13.462,0.902,0.33,0.069,0.287,0.112,0.798,2.584,0.0
13.519,0.909,0.342,0.072,0.273,0.114,0.801,2.585,0.0
13.751,0.905,0.314,0.072,0.274,0.119,0.779,2.582,0.0
13.359,0.905,0.314,0.076,0.272,0.115,0.777,2.584,0.0
13.472,0.903,0.36,0.076,0.293,0.117,0.846,2.575,0.0
13.325,0.915,0.318,0.071,0.253,0.115,0.757,2.531,0.0
13.77,0.911,0.307,0.068,0.261,0.121,0.757,2.683,0.0
13.46,0.914,0.276,0.07,0.256,0.119,0.721,2.618,0.0
13.461,0.902,0.327,0.076,0.276,0.116,0.794,2.749,0.0
13.478,0.911,0.33,0.069,0.258,0.121,0.778,2.612,0.0
